longitude,latitude,row_idx,col_idx,spatial_block_id,target_occurrence,elevation,slope,aspect,s1_vv,s1_vh,s1_ratio,b02_blue,b03_green,b04_red,b08_nir,b11_swir1,b12_swir2,ndvi,ndbi,ndwi,clay_index,ferrous_index,landsat_b1,landsat_b2,landsat_b3,landsat_b4,landsat_b5,soil_moisture,rainfall,dist_roads_km,dist_min_line_km,dist_chem_km,nearest_mno_pct
80.205,21.933,58,302,19,0,312.59207,0.0,0.0,-9.081956,-15.827931,0.0,1651.713,1758.1522,1626.2161,3466.6663,2809.008,1975.1215,0.36137694,-0.10479483,-0.3269997,1.4221951,0.8102909,0.03789849,0.07477689,0.072231635,0.25925815,0.21194685,0.29655588,6.369735,3.186863805451575,57.073359096612286,56.911833576155715,19.63
80.207,21.933,58,303,19,0,312.59207,0.0,0.0,-8.714155,-15.470262,0.0,1652.7932,1751.1732,1599.7314,3437.5708,2688.8635,1890.4633,0.36484596,-0.122209296,-0.32501075,1.4223305,0.7821987,0.033676673,0.07086514,0.06422042,0.25661415,0.19813645,0.29655588,6.4131894,3.33511947116347,57.275143470383206,57.113248419259,19.63
80.209,21.933,58,304,19,0,312.59207,0.0,0.0,-8.590096,-15.337365,0.0,1662.2649,1755.6244,1593.1251,3456.6833,2631.9084,1844.7366,0.36903542,-0.13546234,-0.3263543,1.4267124,0.761397,0.03294171,0.0694869,0.06259867,0.25562656,0.19258413,0.29655588,6.456644,3.369686108453407,57.477076896231154,57.3148153360028,19.63
80.211,21.933,58,305,19,0,312.59207,0.0,0.0,-8.629077,-15.381254,0.0,1657.582,1738.423,1577.6671,3441.9778,2588.4824,1811.4104,0.3714029,-0.14153072,-0.32884613,1.4289873,0.7520335,0.031270333,0.06692144,0.058668967,0.25415733,0.18673061,0.29655588,6.500098,3.4182445584690533,57.67915780866943,57.51653272755624,19.63
80.213,21.933,58,306,19,0,312.59207,0.0,0.0,-8.446974,-15.280745,0.0,1644.2949,1711.6003,1541.5881,3417.088,2484.8252,1723.6646,0.37822592,-0.1579594,-0.33253872,1.4415944,0.72717625,0.028378015,0.06349413,0.05141901,0.25103453,0.17688079,0.29655588,6.543553,3.4803125223896583,57.881384662942494,57.71839901625818,19.63
80.215,21.933,58,307,19,0,312.59207,0.0,0.0,-8.210447,-15.109177,0.0,1614.0409,1676.5582,1503.7487,3362.8955,2393.817,1656.3289,0.38201824,-0.1683389,-0.334627,1.4452546,0.7118321,0.027059292,0.05945807,0.046249308,0.24916863,0.1691498,0.29655588,6.5870075,3.5547400535277105,58.08375593470006,57.920412645285126,19.63
80.217,21.933,58,308,19,0,312.59207,0.0,0.0,-8.389985,-15.224716,0.0,1607.4506,1675.4137,1517.4595,3326.2415,2434.0427,1711.0713,0.37342972,-0.15488797,-0.33005628,1.4225256,0.7317697,0.027985428,0.06233597,0.05084625,0.25248942,0.1752018,0.29655588,6.630462,3.641106692333111,58.28627011967678,58.122572078324716,19.63
80.219,21.933,58,309,19,0,312.59207,0.0,0.0,-8.517086,-15.348068,0.0,1628.2136,1698.3414,1531.951,3385.0913,2429.37,1702.9153,0.37688106,-0.16436969,-0.33181316,1.4265949,0.7176675,0.02990085,0.06303568,0.05240858,0.25516343,0.17764138,0.29655588,6.673917,3.7383463210478927,58.488925733390325,58.32487579926764,19.63
80.221,21.933,58,310,19,0,312.59207,0.0,0.0,-8.676602,-15.520268,0.0,1645.5881,1717.2643,1565.2411,3356.067,2517.6467,1789.8636,0.36389223,-0.14274107,-0.323023,1.4066137,0.75017774,0.034312632,0.06705687,0.060484838,0.2567106,0.19223347,0.29655588,6.7173715,3.8450830648109657,58.691721310831724,58.52732231189216,19.63
80.223,21.933,58,311,19,0,312.59207,0.0,0.0,-9.300032,-15.970771,0.0,1680.9159,1756.2391,1560.0714,3531.4788,2465.7053,1701.2992,0.38719195,-0.1777123,-0.33572888,1.4493073,0.6982076,0.027665857,0.062062435,0.048688654,0.24429464,0.16911706,0.29655588,6.7608256,3.96123371064651,58.89465540616111,58.729910139553716,19.63
